#JD      =     2455808.62793044                                                 
Wave   Flux
5309.2640  148865.5
5310.7403  148920.6
5312.2166  148179.9
5313.6929  147420.2
5315.1692  145895.
5316.6456  145048.8
5318.1219  145310.8
5319.5982  146531.6
5321.0745  148792.3
5322.5509  148347.8
5324.0272  147903.2
5325.5035  147458.7
5326.9798  147014.1
5328.4561  146569.6
5329.9325  146125.
5331.4088  146588.4
5332.8851  146731.1
5334.3614  146311.8
5335.8378  145585.5
5337.3141  145474.7
5338.7904  145000.
5340.2667  145341.3
5341.7430  146050.5
5343.2194  146367.8
5344.6957  146084.5
5346.1720  146321.3
5347.6483  146317.9
5349.1247  146557.5
5350.6010  146825.9
5352.0773  146665.1
5353.5536  146567.5
5355.0299  146634.4
5356.5063  146319.4
5357.9826  145786.4
5359.4589  145227.7
5360.9352  144196.
5362.4116  143324.3
5363.8879  143009.
5365.3642  142922.1
5366.8405  143086.
5368.3168  143177.6
5369.7932  142748.8
5371.2695  143159.4
5372.7458  143355.1
5374.2221  144060.6
5375.6984  144371.5
5377.1748  144040.7
5378.6511  144011.9
5380.1274  143495.8
5381.6037  142997.5
5383.0801  142937.3
5384.5564  143406.4
5386.0327  143673.7
5387.5090  143673.5
5388.9853  143232.6
5390.4617  143403.3
5391.9380  143456.4
